window_start,events_count,unique_admins,unique_entities,unique_entity_subtypes,unique_ips,unique_user_agents,avg_time_between_events_seconds,min_time_between_events_seconds,max_time_between_events_seconds,failure_count,outside_business_hours_count,first_seen_ip_count,first_seen_user_agent_count,rare_action_count,high_risk_action_count,high_risk_sequence_count,uninstall_flag_count,token_flag_count,api_key_flag_count,config_flag_count,action_center_flag_count,permissions_flag_count,authentication_flag_count,failed_admins_nunique,assets_nunique,entity_count__alert_management,entity_count__asset_groups,entity_count__rules,entity_count__endpoint_management,entity_count__auth,subtype_count__alert_management_update_issue,subtype_count__asset_groups_change,subtype_count__rules_import,subtype_count__auth_sso,subtype_count__endpoint_management_create,user_count__palo_alto_networks,user_count__n_a,user_count__seaquint_bancolombia_com_co,failure_ratio,outside_business_hours_ratio,high_risk_action_ratio,burstiness_index,events_count_rolling_mean,events_count_rolling_std,failure_count_rolling_mean,failure_count_rolling_std,unique_admins_rolling_mean,unique_admins_rolling_std,unique_ips_rolling_mean,unique_ips_rolling_std,high_risk_action_count_rolling_mean,high_risk_action_count_rolling_std,uninstall_flag_count_rolling_mean,uninstall_flag_count_rolling_std,token_flag_count_rolling_mean,token_flag_count_rolling_std,api_key_flag_count_rolling_mean,api_key_flag_count_rolling_std,events_count_delta_from_rolling_mean,events_count_zscore_like,failure_count_delta_from_rolling_mean,failure_count_zscore_like,unique_admins_delta_from_rolling_mean,unique_admins_zscore_like,unique_ips_delta_from_rolling_mean,unique_ips_zscore_like,high_risk_action_count_delta_from_rolling_mean,high_risk_action_count_zscore_like,uninstall_flag_count_delta_from_rolling_mean,uninstall_flag_count_zscore_like,token_flag_count_delta_from_rolling_mean,token_flag_count_zscore_like,api_key_flag_count_delta_from_rolling_mean,api_key_flag_count_zscore_like
2026-04-21 20:00:00+00:00,55,2,2,2,1,1,2.611111111111111,0.0,109.0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,54,0,1,0,0,54,0,1,0,0,54,1,0,0.0,0.0,0.01818181818181818,21.06382978723404,55.0,,0.0,,2.0,,1.0,,1.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-21 20:15:00+00:00,5,3,4,4,2,2,85.5,24.0,122.0,0,0,1,1,2,2,2,0,0,0,2,0,0,1,0,1,1,0,2,0,1,1,0,2,1,0,1,2,0,0.0,0.0,0.4,0.05847953216374269,30.0,35.35533905932738,0.0,0.0,2.5,0.7071067811865476,1.5,0.7071067811865476,1.5,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,-25.0,-0.7071067811865475,0.0,0.0,0.5,0.7071067811865475,0.5,0.7071067811865475,0.5,0.7071067811865475,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-21 20:30:00+00:00,3,1,2,2,1,1,297.0,260.0,334.0,0,0,1,1,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0,0,0,1,2,0,0,3,0.0,0.0,0.0,0.010101010101010102,21.0,29.46183972531247,0.0,0.0,2.0,1.0,1.3333333333333333,0.5773502691896257,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.0,-0.6109598099719177,0.0,0.0,-1.0,-1.0,-0.33333333333333326,-0.5773502691896256,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-21 20:45:00+00:00,9,4,4,5,5,4,95.0,2.0,289.0,0,0,3,3,5,6,4,2,0,0,4,0,0,1,0,1,0,0,4,2,1,0,0,4,1,1,0,5,1,0.0,0.0,0.6666666666666666,0.09473684210526316,18.0,24.79247197571607,0.0,0.0,2.5,1.2909944487358056,2.25,1.8929694486000912,2.25,2.6299556396765835,0.5,1.0,0.0,0.0,0.0,0.0,-9.0,-0.3630134182995303,0.0,0.0,1.5,1.161895003862225,2.75,1.4527439954372794,3.75,1.4258795636800752,1.5,1.5,0.0,0.0,0.0,0.0
2026-04-21 21:00:00+00:00,28,1,1,1,0,0,0.4074074074074074,0.0,6.0,0,0,0,0,0,5,3,0,0,0,1,0,4,0,0,1,0,28,0,0,0,0,28,0,0,0,28,0,0,0.0,0.0,0.17857142857142858,68.72727272727273,11.25,11.4418821295566,0.0,0.0,2.25,1.5,2.0,2.160246899469287,3.25,2.753785273643051,0.5,1.0,0.0,0.0,0.0,0.0,16.75,1.4639199923875725,0.0,0.0,-1.25,-0.8333333333333334,-2.0,-0.9258200997725514,1.75,0.6354889093022426,-0.5,-0.5,0.0,0.0,0.0,0.0
